type,speaker,text
continuous,none,"20XX년 8월 X일, "
continuous,수사관,…이리하여 당신에게 도움을 청하게 되었습니다. (클릭하여 계속)
continuous,당신,확실히 까다로운 사건이군요.
continuous,당신,제가 사건의 개요를 다시 정리해보겠습니다.
continuous,당신,틀린 부분이 있다면 바로 정정해주시기 바랍니다.
continuous,수사관,알겠습니다. 시작하시죠.
continuous,당신,"어제 오후 3시, 경찰서로 전화가 한 통 걸려 옵니다."
continuous,당신,전화를 건 사람은 자신이 묶인 채 어딘가에 갖혀 있다며 도움을 요청하죠.
continuous,수사관,네. 정신을 차려보니 의자에 묶여있었다고 말했습니다.
continuous,당신,경찰은 곧바로 전화의 발신지를 추적합니다.
continuous,당신,"그리고 그 동안, 신고자에게 눈에 보이는 것을 설명해달라고 부탁하죠."
continuous,당신,그러나 경찰이 도착하기 전에 비극적인 일이 발생하고 맙니다.
continuous,당신,범인이 나타났다는 말을 마지막으로 통화가 끊긴 것입니다.
continuous,당신,경찰은 뒤늦게나마 발신지에 도착합니다. 그곳은 도심에 위치한 유명 호텔이었습니다.
continuous,당신,"그러나, 그 호텔은… 불타고 있었습니다."
continuous,당신,화재가 일어난 곳이 호텔 전체였나요? 아니면 701호 객실?
continuous,수사관,"701호 객실 뿐입니다. 초기에 진화되어 다른 인명 피해는 없었지만, 701호실은 전소했습니다."
continuous,당신,그리고 701호실이 바로…
continuous,수사관,범행이 일어난 것으로 추정되는 장소입니다.
continuous,당신,확실합니까?
continuous,수사관,"네. 사건 직후 객실을 전부 조사했지만, 범행의 가능성이 있는 다른 장소는 없었습니다."
continuous,당신,유일한 단서였던 범행 장소마저 사라졌군요.
continuous,수사관,그렇습니다.
continuous,당신,701호에는 누가 묵고 있었습니까? 피해자?
continuous,수사관,아닙니다. 그 방은 개인전을 위해 서울을 방문한 독일의 유명 화가가 일주일 째 사용하고 있었습니다.
continuous,당신,화가요?
continuous,수사관,네. 그는 어제 하루종일 전시관에 있던 터라 범행에 대해서는 전혀 알지 못했습니다. 알리바이는 확실합니다.
continuous,당신,다른 목격자는 없습니까?
continuous,수사관,그렇습니다. CCTV 확인 결과 마지막으로 701호실의 문이 열린 것은 그날 오전 10시 경의 청소 시간이었습니다.
continuous,수사관,청소부들만이 오갔을 뿐 피해자가 출입한 모습은 전혀 확인되지 않았습니다.
continuous,당신,피해자도요?
continuous,수사관,네. 뿐만 아니라 피해자가 신고를 한 세 시 경에도 701호실에는 아무도 출입하지 않았습니다.
continuous,당신,이상하군요. 분명 피해자는 범인이 나타났다고 하지 않았습니까?
continuous,수사관,그렇습니다.
continuous,당신,다른 출입구는 없습니까? 창문이라던가.
continuous,수사관,"외창이 있지만 지상 7층에 위치한 객실이고, 비상계단과 연결된 것도 아닙니다."
continuous,수사관,"특수한 장치를 이용하여 창문으로 출입했는 지에 대해서는 조사 중입니다만, 현장이 소실되어 흔적을 찾기가 어렵습니다."
continuous,당신,알겠습니다. 
continuous,수사관,현장에는 과학수사대가 추가적인 증거를 수집하고 있습니다. 지금 이동하시겠습니까?
continuous,당신,"아뇨, 괜찮습니다. 지금 가봐야 방해만 될 것 같군요."
continuous,당신,일단 701호실의 구조를 보고 싶습니다.
continuous,수사관,잠시만 기다려 주시기 바랍니다.
continuous,수사관,호텔의 도면과 직원들의 증언을 토대로 구성해본 701호실의 도면입니다.
continuous,수사관,대략적인 구조가 파악되시면 말씀해주세요.
static,none,(퍼즐을 맞춰 구조도를 완성하자)
